“2NC0","35.869","-82.342"
"3CO4","37.071","-105.019"
"ABDA2","61.144","-149.906"
"AGGH","-9.428","160.055"
"AGGL","-10.7","165.8"
"AGGM","-8.328","157.263"
"AN001","34.885","-76.62"
"AN002","33.484","-112.143"
"AN003","33.41","-111.865"
"AN004","33.56","-112.066"
"AN005","33.452","-111.733"
"AN006","33.629","-111.677"
"AN007","33.569","-112.192"
"AN008","33.712","-111.853"
"AN009","33.458","-112.046"
"AN010","33.48","-111.917"
"AN011","33.461","-112.118"
"AN012","33.403","-112.073"
"AN013","33.299","-111.884"
"AN014","33.412","-111.935"
"AN015","33.311","-111.722"
"AN016","33.822","-112.017"
"AN017","33.406","-112.144"
"AN018","33.637","-112.339"
"AN019","33.37","-112.621"
"AN021","33.545","-111.609"
"AN022","33.611","-111.725"
"AN023","33.426","-112.118"
"AN024","34.18","-93.099"
"AN025","38.34","-120.762"
"AN026","39.758","-121.842"
"AN027","39.756","-121.604"
"AN029","39.308","-121.758"
"AN030","38.202","-120.681"
"AN031","39.203","-122.017"
"AN032","38.727","-120.818"
"AN033","38.812","-120.032"
"AN035","36.781","-119.772"
"AN036","39.518","-122.19"
"AN038","32.676","-115.483"
"AN039","32.678","-115.39"
"AN044","36.597","-118.04"
"AN045","37.367","-118.417"
"AN046","36.803","-118.117"
"AN048","35.346","-118.851"
"AN049","35.051","-118.146"
"AN050","35.356","-119.04"
"AN051","35.439","-119.016"
"AN052","35.208","-118.784"
"AN053","35.504","-119.272"
"AN054","37.55","-119.844"
"AN056","39.339","-120.17"
"AN058","38.746","-121.265"
"AN059","39.806","-120.469"
"AN062","33.612","-114.601"
"AN063","38.614","-121.367"
"AN064","38.558","-121.492"
"AN065","38.302","-121.422"
"AN066","38.684","-121.163"
"AN068","38.495","-121.21"
"AN069","34.194","-116.913"
"AN070","37.951","-121.268"
"AN071","35.632","-120.69"
"AN072","35.284","-120.654"
"AN073","34.428","-119.69"
"AN074","34.948","-120.434"
"AN075","38.352","-121.962"
"AN076","37.658","-120.994"
"AN077","39.139","-121.619"
"AN079","36.332","-119.29"
"AN080","37.982","-120.379"
"AN081","34.21","-118.869"
"AN082","34.361","-118.925"
"AN083","34.404","-118.81"
"AN084","34.417","-119.246"
"AN085","34.278","-118.685"
"AN086","34.29","-119.314"
"AN087","34.265","-119.134"
"AN088","38.533","-121.775"
"AN089","38.662","-121.728"
"AN097","38.956","-106.986"
"AN104","41.171","-73.195"
"AN105","41.004","-73.585"
"AN106","41.401","-73.445"
"AN107","41.152","-73.104"
"AN108","41.119","-73.337"
"AN109","41.785","-72.63"
"AN110","41.743","-72.642"
"AN111","41.645","-73.079"
"AN112","41.833","-73.303"
"AN113","41.552","-72.631"
"AN114","41.301","-72.903"
"AN115","41.55","-73.044"
"AN116","41.258","-72.551"
"AN117","41.354","-72.079"
"AN118","41.731","-72.212"
"AN119","41.976","-72.387"
"AN120","41.84","-72.01"
"AN122","26.272","-80.295"
"AN123","26.085","-80.241"
"AN124","26.291","-80.097"
"AN125","27.74","-82.466"
"AN126","27.928","-82.455"
"AN127","27.893","-82.538"
"AN128","27.579","-82.138"
"AN129","27.849","-80.455"
"AN130","30.11","-84.99"
"AN135","32.805","-83.544"
"AN137","32.069","-81.049"
"AN138","32.09","-81.13"
"AN139","33.582","-82.131"
"AN140","33.404","-84.746"
"AN141","34.376","-84.06"
"AN142","33.688","-84.29"
"AN143","33.846","-84.214"
"AN144","33.743","-84.779"
"AN146","33.72","-84.358"
"AN147","31.169","-81.496"
"AN148","34.785","-84.627"
"AN149","32.539","-84.845"
"AN150","33.928","-85.045"
"AN151","33.179","-84.405"
"AN152","33.434","-82.022"
"AN153","33.588","-84.07"
"AN164","39.915","-91.336"
"AN165","40.052","-88.372"
"AN166","39.172","-87.681"
"AN167","41.671","-87.732"
"AN168","41.896","-87.608"
"AN169","41.751","-87.713"
"AN170","41.965","-87.876"
"AN171","42.141","-87.799"
"AN172","42.062","-87.674"
"AN173","41.813","-88.073"
"AN174","38.082","-88.625"
"AN175","42.287","-90."
"AN176","42.467","-87.81"
"AN177","41.294","-89.049"
"AN178","39.867","-88.926"
"AN179","39.396","-89.809"
"AN180","38.793","-90.04"
"AN181","38.869","-89.623"
"AN183","40.697","-89.585"
"AN184","41.514","-90.517"
"AN185","38.612","-90.16"
"AN187","42.335","-89.038"
"AN188","41.095","-85.102"
"AN189","40.54","-86.553"
"AN190","38.43","-85.636"
"AN191","38.369","-86.959"
"AN192","38.323","-87.319"
"AN193","40.012","-85.524"
"AN195","38.741","-87.485"
"AN196","41.607","-87.305"
"AN199","39.789","-86.061"
"AN200","39.811","-86.115"
"AN203","38.005","-87.718"
"AN204","41.697","-86.215"
"AN205","40.816","-85.661"
"AN206","37.954","-87.29"
"AN209","43.169","-93.202"
"AN210","41.823","-90.212"
"AN214","42.008","-91.679"
"AN215","41.977","-91.688"
"AN217","41.401","-91.068"
"AN222","41.53","-90.588"
"AN228","39.102","-96.61"
"AN229","37.921","-83.066"
"AN230","36.784","-87.85"
"AN231","37.705","-85.048"
"AN232","30.229","-90.966"
"AN233","30.143","-93.372"
"AN234","30.262","-93.285"
"AN235","30.228","-93.58"
"AN236","30.42","-91.182"
"AN237","30.462","-91.177"
"AN238","30.701","-91.056"
"AN239","30.587","-91.207"
"AN240","30.399","-91.418"
"AN241","30.221","-91.315"
"AN242","30.198","-91.128"
"AN243","30.041","-90.273"
"AN244","30.315","-90.811"
"AN245","29.993","-90.101"
"AN246","30.682","-91.366"
"AN247","29.943","-89.976"
"AN248","29.935","-89.956"
"AN249","30.502","-91.211"
"AN250","44.044","-70.292"
"AN251","46.698","-68.039"
"AN252","46.696","-68.033"
"AN253","43.561","-70.208"
"AN255","44.377","-68.261"
"AN256","44.317","-69.792"
"AN257","44.063","-69.093"
"AN258","44.82","-68.819"
"AN260","45.216","-68.708"
"AN261","44.964","-67.061"
"AN262","46.604","-68.414"
