longitude,latitude
-87.64284,41.93556
-86.95590,40.86558
-86.29086,39.79165
-85.64630,38.71404
-85.02091,37.63300
-84.41349,36.54875
-83.82290,35.46151
-83.24808,34.37146
-82.68805,33.27880
-82.14188,32.18369
-81.60871,31.08629
-81.08772,29.98675
-80.57816,28.88520
-80.07931,27.78177
-79.59048,26.67659
-79.11105,25.56976
-78.64041,24.46141
-78.17798,23.35162
-77.72323,22.24050
-77.27564,21.12813
-76.83472,20.01460
-76.40000,18.90000
